"No.","Time","Source","Destination","Protocol","Length","Info"
"188","0.002054","11.0.0.210","10.42.0.2","TCP","60","22800  >  80 [SYN] Seq=0 Win=512 Len=0"
"189","0.002062","11.0.0.210","10.42.0.2","TCP","60","22801  >  80 [SYN] Seq=0 Win=512 Len=0"
"190","0.002072","11.0.0.210","10.42.0.2","TCP","60","22802  >  80 [SYN] Seq=0 Win=512 Len=0"
"191","0.002080","11.0.0.210","10.42.0.2","TCP","60","22803  >  80 [SYN] Seq=0 Win=512 Len=0"
"192","0.002089","11.0.0.210","10.42.0.2","TCP","60","22804  >  80 [SYN] Seq=0 Win=512 Len=0"
"193","0.002119","11.0.0.210","10.42.0.2","TCP","60","22805  >  80 [SYN] Seq=0 Win=512 Len=0"
"194","0.002129","11.0.0.210","10.42.0.2","TCP","60","22806  >  80 [SYN] Seq=0 Win=512 Len=0"
"195","0.002140","11.0.0.210","10.42.0.2","TCP","60","22807  >  80 [SYN] Seq=0 Win=512 Len=0"
"196","0.002148","11.0.0.210","10.42.0.2","TCP","60","22808  >  80 [SYN] Seq=0 Win=512 Len=0"
"197","0.002164","11.0.0.210","10.42.0.2","TCP","60","22809  >  80 [SYN] Seq=0 Win=512 Len=0"
"198","0.002174","11.0.0.210","10.42.0.2","TCP","60","22932  >  80 [SYN] Seq=0 Win=512 Len=0"
"199","0.002182","11.0.0.210","10.42.0.2","TCP","60","22811  >  80 [SYN] Seq=0 Win=512 Len=0"
"200","0.002191","11.0.0.210","10.42.0.2","TCP","60","22812  >  80 [SYN] Seq=0 Win=512 Len=0"
"201","0.002199","11.0.0.210","10.42.0.2","TCP","60","22814  >  80 [SYN] Seq=0 Win=512 Len=0"
"202","0.002207","11.0.0.210","10.42.0.2","TCP","60","22815  >  80 [SYN] Seq=0 Win=512 Len=0"
"203","0.002216","11.0.0.210","10.42.0.2","TCP","60","22816  >  80 [SYN] Seq=0 Win=512 Len=0"
"204","0.002224","11.0.0.210","10.42.0.2","TCP","60","22913  >  80 [SYN] Seq=0 Win=512 Len=0"
"205","0.002233","11.0.0.210","10.42.0.2","TCP","60","22817  >  80 [SYN] Seq=0 Win=512 Len=0"
"206","0.002242","11.0.0.210","10.42.0.2","TCP","60","22818  >  80 [SYN] Seq=0 Win=512 Len=0"
"207","0.002249","11.0.0.210","10.42.0.2","TCP","60","22819  >  80 [SYN] Seq=0 Win=512 Len=0"
"208","0.002258","11.0.0.210","10.42.0.2","TCP","60","22820  >  80 [SYN] Seq=0 Win=512 Len=0"
"209","0.002287","11.0.0.210","10.42.0.2","TCP","60","22847  >  80 [SYN] Seq=0 Win=512 Len=0"
"210","0.002296","11.0.0.210","10.42.0.2","TCP","60","22821  >  80 [SYN] Seq=0 Win=512 Len=0"
"211","0.002305","11.0.0.210","10.42.0.2","TCP","60","22916  >  80 [SYN] Seq=0 Win=512 Len=0"
"212","0.002315","11.0.0.210","10.42.0.2","TCP","60","22822  >  80 [SYN] Seq=0 Win=512 Len=0"
"213","0.002332","11.0.0.210","10.42.0.2","TCP","60","22823  >  80 [SYN] Seq=0 Win=512 Len=0"
"214","0.002341","11.0.0.210","10.42.0.2","TCP","60","22824  >  80 [SYN] Seq=0 Win=512 Len=0"
"215","0.002349","11.0.0.210","10.42.0.2","TCP","60","22844  >  80 [SYN] Seq=0 Win=512 Len=0"
"216","0.002358","11.0.0.210","10.42.0.2","TCP","60","22825  >  80 [SYN] Seq=0 Win=512 Len=0"
"217","0.002379","11.0.0.210","10.42.0.2","TCP","60","22827  >  80 [SYN] Seq=0 Win=512 Len=0"
"218","0.002389","11.0.0.210","10.42.0.2","TCP","60","22828  >  80 [SYN] Seq=0 Win=512 Len=0"
"219","0.002398","11.0.0.210","10.42.0.2","TCP","60","22829  >  80 [SYN] Seq=0 Win=512 Len=0"
"220","0.002406","11.0.0.210","10.42.0.2","TCP","60","22830  >  80 [SYN] Seq=0 Win=512 Len=0"
"221","0.002416","11.0.0.210","10.42.0.2","TCP","60","22831  >  80 [SYN] Seq=0 Win=512 Len=0"
"222","0.002423","11.0.0.210","10.42.0.2","TCP","60","22838  >  80 [SYN] Seq=0 Win=512 Len=0"
"223","0.002432","11.0.0.210","10.42.0.2","TCP","60","22832  >  80 [SYN] Seq=0 Win=512 Len=0"
"224","0.002442","11.0.0.210","10.42.0.2","TCP","60","22833  >  80 [SYN] Seq=0 Win=512 Len=0"
"225","0.002474","11.0.0.210","10.42.0.2","TCP","60","22960  >  80 [SYN] Seq=0 Win=512 Len=0"
"226","0.002484","11.0.0.210","10.42.0.2","TCP","60","22834  >  80 [SYN] Seq=0 Win=512 Len=0"
"227","0.002491","11.0.0.210","10.42.0.2","TCP","60","22835  >  80 [SYN] Seq=0 Win=512 Len=0"
"228","0.002500","11.0.0.210","10.42.0.2","TCP","60","22836  >  80 [SYN] Seq=0 Win=512 Len=0"
"229","0.002518","11.0.0.210","10.42.0.2","TCP","60","22837  >  80 [SYN] Seq=0 Win=512 Len=0"
"230","0.002526","11.0.0.210","10.42.0.2","TCP","60","22839  >  80 [SYN] Seq=0 Win=512 Len=0"
"231","0.002535","11.0.0.210","10.42.0.2","TCP","60","22939  >  80 [SYN] Seq=0 Win=512 Len=0"
"232","0.002546","11.0.0.210","10.42.0.2","TCP","60","22840  >  80 [SYN] Seq=0 Win=512 Len=0"
"233","0.002553","11.0.0.210","10.42.0.2","TCP","60","22841  >  80 [SYN] Seq=0 Win=512 Len=0"
"234","0.002562","11.0.0.210","10.42.0.2","TCP","60","22856  >  80 [SYN] Seq=0 Win=512 Len=0"
